Time (seconds),Joint Angle (radians),Joint Velocity (rad/sec),Joint Torque (Nm),Joint Power (Watts)
0,0.001485,2.104794,-2.831130556,-6.263693525
0.010627,0.024081,2.243248,-3.685612361,-8.275421149
0.021254,0.047321,1.810422,-9.432788841,-17.09799097
0.031881,0.065307,0.960741,-11.54791047,-12.37942704
0.042508,0.074021,-0.03504,-9.280537754,-2.376768076
0.053135,0.072311,-0.93152,-8.270230209,5.336133404
0.063762,0.06149,-1.5762,-5.102663246,6.081608184
0.074389,0.044301,-1.92634,-1.421995738,1.218481361
0.085017,0.023802,-2.02168,1.296769465,-3.765886227
0.095644,0.002565,-1.9425,4.354060236,-9.448632106
0.106271,-0.01769,-1.77241,7.848375393,-14.885358
0.116898,-0.03611,-1.57457,11.08038828,-18.31963117
0.127525,-0.05245,-1.38509,14.35236281,-20.42242517
0.138152,-0.06681,-1.21898,17.60005459,-21.3720473
0.148779,-0.07945,-1.07927,20.82397272,-21.50622152
0.159406,-0.09063,-0.96258,23.76482733,-20.93825296
0.170033,-0.1006,-0.86251,26.78611171,-20.4391574
0.18066,-0.10952,-0.77218,29.54543455,-19.79148435
0.191287,-0.11749,-0.6865,32.06207784,-18.88458911
0.201914,-0.12456,-0.60492,34.46096137,-17.62424239
0.212541,-0.13077,-0.53098,36.56005423,-15.83684662
0.223168,-0.13623,-0.46883,38.4791035,-13.76950943
0.233796,-0.14106,-0.42092,40.11806956,-11.6611484
0.244423,-0.1454,-0.38831,41.64472718,-9.950663884
0.25505,-0.14943,-0.37133,43.1186701,-9.044820356
0.265677,-0.15329,-0.36919,44.63118259,-9.143944641
0.276304,-0.15715,-0.37916,46.20207397,-10.10822057
0.286931,-0.16113,-0.39759,47.85571617,-11.75178122
0.297558,-0.16531,-0.4215,49.82182024,-14.04563965
0.308185,-0.16974,-0.44906,51.87055236,-16.7695062
0.318812,-0.17447,-0.47933,54.22994524,-20.01918191
0.329439,-0.17953,-0.51047,56.85041809,-23.64514519
0.340066,-0.18491,-0.53912,59.79677522,-27.50454416
0.350693,-0.1906,-0.5622,63.17865353,-31.35197908
0.36132,-0.19653,-0.57894,66.84922045,-35.01849952
0.371947,-0.20263,-0.59175,70.87951368,-38.71765779
0.382575,-0.20886,-0.60481,75.23602959,-42.73241563
0.393202,-0.21523,-0.62199,79.9457924,-47.42541878
0.403829,-0.22179,-0.64446,84.84527148,-52.82354605
0.414456,-0.2286,-0.66917,89.97145647,-58.74969582
0.425083,-0.23567,-0.68817,95.22420981,-64.43899639
0.43571,-0.24293,-0.68924,100.5125427,-68.54306284
0.446337,-0.25018,-0.65866,105.5983673,-69.15049192
0.456964,-0.25707,-0.58498,110.3238685,-64.43802069
0.467591,-0.26313,-0.46215,114.4747116,-53.15424364
0.478218,-0.26784,-0.29105,117.9310037,-34.99460339
0.488845,-0.27071,-0.07848,120.3636497,-10.60926593
0.499472,-0.27129,0.166778,121.6490554,18.52985702
0.510099,-0.26927,0.44037,121.5655116,51.05085427
0.520726,-0.26433,0.74942,119.8012623,86.4368113
0.531354,-0.25608,1.117217,115.9457058,125.3065607
0.541981,-0.24387,1.580369,110.8175389,169.7415298
0.552608,-0.22663,2.173334,103.3528283,217.8990322
0.563235,-0.20296,2.902736,92.05882849,260.134723
0.573862,-0.17145,3.722794,77.38948966,282.2401066
0.584489,-0.13122,4.524859,60.96088614,273.0378053
0.595116,-0.08264,5.1512,43.3365315,225.0795445
0.605743,-0.02779,5.434376,25.77296256,146.3186144
0.61637,0.029532,5.249746,10.73929141,63.86739514
0.626997,0.084295,4.557587,1.607207827,11.72994285
0.637624,0.131169,3.418516,-1.81823596,-4.768301571
0.648251,0.16559,1.983528,-2.46458647,-4.483068988
0.658878,0.18469,0.468129,-2.594061071,-1.370831054
0.669505,0.18792,-0.89163,-2.487117794,1.831273245
0.680132,0.177184,-1.90268,-2.186472012,3.920992967
0.69076,0.156309,-2.47563,-1.759836867,4.413896935
0.701387,0.129904,-2.64544,-1.320660047,3.694739633
0.712014,0.102088,-2.53733,-0.971963409,2.621716114
0.722641,0.075608,-2.30226,-0.764944546,1.82148334
0.733268,0.051642,-2.05855,-0.690466126,1.421975397
0.743895,0.030193,-1.86315,-0.701964026,1.279682542
0.754522,0.010734,-1.71742,-0.747658073,1.24550444
0.765149,-0.00723,-1.5936,-0.78982747,1.228988316
0.775776,-0.02389,-1.46191,-0.81596936,1.183691591
0.786403,-0.03915,-1.3055,-0.832498202,1.09494266
0.79703,-0.05273,-1.1227,-0.851105003,0.969214579
